id,rodada,data,horario,dia,mandante,visitante,vencedor,arena,mandante_placar,visitante_placar,estado_mandante,estado_visitante,estado_vencedor,perdedor,turno_dia,saldo_placar,pontos_mandante,pontos_visitante,temporada
1054,1,2003-03-29,16h00,sábado,athlético-pr,grêmio,athlético-pr,arena da baixada,2.0,0.0,pr,rs,pr,grêmio,tarde,2.0,3,0,temporada_2003
1055,1,2003-03-29,16h00,sábado,guarani,vasco,guarani,brinco de ouro,4.0,2.0,sp,rj,sp,vasco,tarde,2.0,3,0,temporada_2003
1056,1,2003-03-30,16h00,domingo,fortaleza,bahia,-,castelão,0.0,0.0,ce,ba,-,-,tarde,0.0,1,1,temporada_2003
1057,1,2003-03-30,16h00,domingo,flamengo,coritiba,-,maracanã,1.0,1.0,rj,pr,-,-,tarde,0.0,1,1,temporada_2003
1058,1,2003-03-30,16h00,domingo,vitória,figueirense,-,barradão,1.0,1.0,es,sc,-,-,tarde,0.0,1,1,temporada_2003
1059,1,2003-03-30,18h00,domingo,santos,paraná,-,vila belmiro,2.0,2.0,sp,pr,-,-,noite,0.0,1,1,temporada_2003
1060,1,2003-03-30,16h00,domingo,goiás,paysandu,-,serra dourada,2.0,2.0,go,pa,-,-,tarde,0.0,1,1,temporada_2003
1061,1,2003-03-30,16h00,domingo,internacional,ponte preta,-,beira rio,1.0,1.0,rs,sp,-,-,tarde,0.0,1,1,temporada_2003
1062,1,2003-03-30,16h00,domingo,cruzeiro,são caetano,-,mineirão,2.0,2.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2003
1063,1,2003-03-30,16h00,domingo,juventude,são paulo,-,alfredo jaconi,2.0,2.0,rs,sp,-,-,tarde,0.0,1,1,temporada_2003
1064,1,2003-03-30,18h00,domingo,corinthians,atlético-mg,atlético-mg,pacaembu,0.0,3.0,sp,mg,mg,corinthians,noite,-3.0,0,3,temporada_2003
1065,1,2003-03-30,16h00,domingo,criciúma,fluminense,criciúma,heriberto hulse,2.0,0.0,sc,rj,sc,fluminense,tarde,2.0,3,0,temporada_2003
1066,2,2003-04-05,16h00,sábado,fluminense,fortaleza,-,maracanã,1.0,1.0,rj,ce,-,-,tarde,0.0,1,1,temporada_2003
1067,2,2003-04-05,16h00,sábado,atlético-mg,santos,-,mineirão,0.0,0.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2003
1068,2,2003-04-05,18h00,sábado,grêmio,guarani,grêmio,olímpico monumental,3.0,1.0,rs,sp,rs,guarani,noite,2.0,3,0,temporada_2003
1069,2,2003-04-05,16h00,sábado,coritiba,internacional,internacional,couto pereira,0.0,1.0,pr,rs,rs,coritiba,tarde,-1.0,0,3,temporada_2003
1070,2,2003-04-06,16h00,domingo,figueirense,corinthians,-,orlando scarpelli,3.0,3.0,sc,sp,-,-,tarde,0.0,1,1,temporada_2003
1071,2,2003-04-06,18h00,domingo,são paulo,cruzeiro,cruzeiro,morumbi,2.0,4.0,sp,mg,mg,são paulo,noite,-2.0,0,3,temporada_2003
1072,2,2003-04-06,16h00,domingo,bahia,flamengo,flamengo,fonte nova,1.0,2.0,ba,rj,rj,bahia,tarde,-1.0,0,3,temporada_2003
1073,2,2003-04-06,16h00,domingo,paraná,athlético-pr,paraná,pinheirão,3.0,0.0,pr,pr,pr,athlético-pr,tarde,3.0,3,0,temporada_2003
1074,2,2003-04-06,16h00,domingo,ponte preta,juventude,ponte preta,moisés lucarelli,1.0,0.0,sp,rs,sp,juventude,tarde,1.0,3,0,temporada_2003
1075,2,2003-04-06,16h00,domingo,são caetano,criciúma,são caetano,anacleto campanella,3.0,2.0,sp,sc,sp,criciúma,tarde,1.0,3,0,temporada_2003
1076,2,2003-04-06,18h00,domingo,vasco,goiás,vasco,são januário,6.0,4.0,rj,go,rj,goiás,noite,2.0,3,0,temporada_2003
1077,2,2003-04-06,16h00,domingo,paysandu,vitória,vitória,mangueirão,1.0,2.0,pa,es,es,paysandu,tarde,-1.0,0,3,temporada_2003
1078,4,2003-04-09,21h40,quarta-feira,paysandu,santos,paysandu,mangueirão,2.0,1.0,pa,sp,pa,santos,noite,1.0,3,0,temporada_2003
1079,3,2003-04-12,16h00,sábado,athlético-pr,atlético-mg,atlético-mg,arena da baixada,1.0,2.0,pr,mg,mg,athlético-pr,tarde,-1.0,0,3,temporada_2003
1080,3,2003-04-12,18h00,sábado,corinthians,paysandu,corinthians,pacaembu,6.0,1.0,sp,pa,sp,paysandu,noite,5.0,3,0,temporada_2003
1081,3,2003-04-12,16h00,sábado,internacional,bahia,internacional,beira rio,2.0,0.0,rs,ba,rs,bahia,tarde,2.0,3,0,temporada_2003
1082,3,2003-04-12,16h00,sábado,santos,figueirense,santos,vila belmiro,2.0,0.0,sp,sc,sp,figueirense,tarde,2.0,3,0,temporada_2003
1083,3,2003-04-13,16h00,domingo,goiás,grêmio,-,serra dourada,1.0,1.0,go,rs,-,-,tarde,0.0,1,1,temporada_2003
1084,3,2003-04-13,16h00,domingo,fortaleza,são caetano,-,presidente vargas,1.0,1.0,ce,sp,-,-,tarde,0.0,1,1,temporada_2003
1085,3,2003-04-13,16h00,domingo,criciúma,são paulo,-,heriberto hulse,1.0,1.0,sc,sp,-,-,tarde,0.0,1,1,temporada_2003
1086,3,2003-04-13,18h00,domingo,cruzeiro,ponte preta,cruzeiro,mineirão,3.0,0.0,mg,sp,mg,ponte preta,noite,3.0,3,0,temporada_2003
1087,3,2003-04-13,18h00,domingo,flamengo,fluminense,flamengo,maracanã,4.0,1.0,rj,rj,rj,fluminense,noite,3.0,3,0,temporada_2003
1088,3,2003-04-13,16h00,domingo,guarani,paraná,guarani,brinco de ouro,2.0,0.0,sp,pr,sp,paraná,tarde,2.0,3,0,temporada_2003
1089,3,2003-04-13,16h00,domingo,juventude,coritiba,juventude,alfredo jaconi,2.0,1.0,rs,pr,rs,coritiba,tarde,1.0,3,0,temporada_2003
1090,3,2003-04-13,16h00,domingo,vitória,vasco,vitória,barradão,2.0,1.0,es,rj,es,vasco,tarde,1.0,3,0,temporada_2003
1091,4,2003-04-16,20h30,quarta-feira,figueirense,athlético-pr,-,orlando scarpelli,1.0,1.0,sc,pr,-,-,noite,0.0,1,1,temporada_2003
1092,4,2003-04-16,21h40,quarta-feira,vasco,corinthians,-,são januário,2.0,2.0,rj,sp,-,-,noite,0.0,1,1,temporada_2003
1093,4,2003-04-16,20h30,quarta-feira,ponte preta,criciúma,-,moisés lucarelli,1.0,1.0,sp,sc,-,-,noite,0.0,1,1,temporada_2003
1094,4,2003-04-16,21h40,quarta-feira,são caetano,flamengo,-,anacleto campanella,1.0,1.0,sp,rj,-,-,noite,0.0,1,1,temporada_2003
1095,4,2003-04-16,20h30,quarta-feira,atlético-mg,guarani,atlético-mg,mineirão,3.0,2.0,mg,sp,mg,guarani,noite,1.0,3,0,temporada_2003
1096,4,2003-04-16,20h30,quarta-feira,bahia,juventude,bahia,fonte nova,3.0,1.0,ba,rs,ba,juventude,noite,2.0,3,0,temporada_2003
1097,4,2003-04-16,21h40,quarta-feira,coritiba,cruzeiro,cruzeiro,couto pereira,3.0,4.0,pr,mg,mg,coritiba,noite,-1.0,0,3,temporada_2003
1098,4,2003-04-16,20h30,quarta-feira,grêmio,vitória,grêmio,olímpico monumental,2.0,1.0,rs,es,rs,vitória,noite,1.0,3,0,temporada_2003
1099,4,2003-04-17,20h30,quinta-feira,fluminense,internacional,fluminense,maracanã,3.0,1.0,rj,rs,rj,internacional,noite,2.0,3,0,temporada_2003
1100,4,2003-04-17,20h30,quinta-feira,paraná,goiás,paraná,pinheirão,3.0,1.0,pr,go,pr,goiás,noite,2.0,3,0,temporada_2003
1101,4,2003-04-17,20h30,quinta-feira,são paulo,fortaleza,são paulo,morumbi,3.0,1.0,sp,ce,sp,fortaleza,noite,2.0,3,0,temporada_2003
1102,12,2003-04-18,20h30,quarta-feira,flamengo,cruzeiro,flamengo,maracanã,3.0,0.0,rj,mg,rj,cruzeiro,noite,3.0,3,0,temporada_2003
1103,5,2003-04-19,16h00,sábado,são caetano,grêmio,-,anacleto campanella,1.0,1.0,sp,rs,-,-,tarde,0.0,1,1,temporada_2003
1104,5,2003-04-19,16h00,sábado,bahia,atlético-mg,atlético-mg,fonte nova,2.0,4.0,ba,mg,mg,bahia,tarde,-2.0,0,3,temporada_2003
1105,5,2003-04-19,18h00,sábado,flamengo,santos,santos,maracanã,0.0,2.0,rj,sp,sp,flamengo,noite,-2.0,0,3,temporada_2003
1106,5,2003-04-20,18h00,domingo,fluminense,paraná,-,maracanã,0.0,0.0,rj,pr,-,-,noite,0.0,1,1,temporada_2003
1107,5,2003-04-20,16h00,domingo,ponte preta,paysandu,-,moisés lucarelli,4.0,4.0,sp,pa,-,-,tarde,0.0,1,1,temporada_2003
