temporada;campeao;campeao_prim_turno;qtd_clubes;data_inicio;data_fim;num_partidas
temporada_2003;cruzeiro;cruzeiro;24;2003-03-29;2003-12-14;552
temporada_2004;santos;santos;24;2004-04-21;2004-12-19;552
temporada_2005;corinthians;corinthians;22;2005-04-11;2005-12-09;462
temporada_2006;são paulo;são paulo;20;2006-04-15;2006-12-03;380
temporada_2007;são paulo;são paulo;20;2007-05-12;2007-12-02;380
temporada_2008;são paulo;grêmio;20;2008-05-10;2008-12-07;380
temporada_2009;flamengo;internacional;20;2009-05-09;2009-12-06;380
temporada_2010;fluminense;fluminense;20;2010-05-08;2010-12-05;380
temporada_2011;corinthians;corinthians;20;2011-05-21;2011-12-04;380
temporada_2012;fluminense;atlético-mg;20;2012-05-19;2012-12-02;380
temporada_2013;cruzeiro;cruzeiro;20;2013-05-25;2013-12-08;380
temporada_2014;cruzeiro;cruzeiro;20;2014-04-19;2014-12-07;380
temporada_2015;corinthians;corinthians;20;2015-05-09;2015-12-06;380
temporada_2016;palmeiras;palmeiras;20;2016-05-14;2016-12-11;380
temporada_2017;corinthians;corinthians;20;2017-05-13;2017-12-03;380
temporada_2018;palmeiras;são paulo;20;2018-04-14;2018-12-02;380
temporada_2019;flamengo;flamengo;20;2019-04-27;2019-12-08;380
temporada_2020;flamengo;são paulo;20;2020-08-08;2021-02-24;380
